,City,Country,Latitude,Longitude,Temperatures,Humidity,Cloudiness,Windiness
0,Karratha,AU,-20.7377,116.8463,85.64,51,0,8.79
1,Vaini,TO,-21.2,-175.2,77.0,94,90,11.5
2,Husavik,IS,66.0449,-17.3389,32.0,74,20,3.44
3,Sydney Mines,CA,46.2367,-60.2177,28.0,93,90,18.41
4,Ushuaia,AR,-54.8,-68.3,51.8,82,75,2.3
5,Pachino,IT,36.7186,15.0907,48.2,100,75,2.3
6,Busselton,AU,-33.65,115.3333,68.0,89,81,8.01
7,Dunedin,NZ,-45.8742,170.5036,61.0,88,94,1.01
8,Vila Franca do Campo,PT,37.7167,-25.4333,57.2,82,20,13.8
9,Iqaluit,CA,63.7506,-68.5145,32.0,74,90,17.27
10,Avarua,CK,-21.2078,-159.775,84.2,74,40,8.05
11,Merauke,ID,-8.4667,140.3333,87.26,68,51,10.6
12,Yulara,AU,-25.2406,130.9889,95.0,16,0,8.05
13,Hermanus,ZA,-34.4187,19.2345,55.99,94,31,3.6
14,Jamestown,US,42.097,-79.2353,12.0,85,90,6.91
15,Albany,US,42.6001,-73.9662,21.0,53,22,1.99
16,Butaritari,KI,3.0707,172.7902,81.32,80,32,17.25
17,Egvekinot,RU,66.3167,-179.1667,-14.28,87,22,17.11
18,Buta,CD,2.7858,24.73,62.6,46,96,1.66
19,Lázaro Cárdenas,MX,17.9583,-102.2,72.36,80,0,3.65
20,Tres Arroyos,AR,-38.3739,-60.2798,57.38,70,85,11.5
21,Yellowknife,CA,62.456,-114.3525,-35.0,67,75,9.22
22,Kaifeng,CN,34.7911,114.3483,44.6,39,0,4.47
23,Tonantins,BR,-2.8731,-67.8022,74.34,96,100,1.95
24,Orbetello,IT,42.4408,11.2196,48.2,71,20,2.3
25,Kapaa,US,22.0752,-159.319,71.6,56,40,2.66
26,Seymchan,RU,62.8833,152.4333,-9.78,84,100,21.41
27,Saint-Philippe,RE,-21.3585,55.7679,86.0,54,90,5.75
28,Vardø,NO,70.3705,31.1107,21.2,79,90,16.11
29,Singaraja,ID,-8.112,115.0882,83.91,69,82,8.63
30,East London,ZA,-33.0153,27.9116,66.2,94,75,9.22
31,Tiksi,RU,71.6872,128.8694,-28.77,86,57,5.28
32,Saldanha,ZA,-33.0117,17.9442,60.8,77,0,6.91
33,Kismayo,SO,-0.3582,42.5454,77.49,79,6,14.94
34,Manzhouli,CN,49.6,117.4333,5.88,90,97,5.48
35,Nanortalik,GL,60.1432,-45.2371,31.71,87,96,15.48
36,Cherskiy,RU,68.75,161.3,4.98,74,0,1.57
37,Chunoyar,RU,57.4467,97.3217,25.93,92,26,9.19
38,Itarema,BR,-2.9248,-39.9167,78.82,85,24,9.95
39,Farsund,NO,58.0948,6.8047,24.01,59,10,22.62
40,Sinnamary,GF,5.3833,-52.95,77.86,84,100,13.2
41,The Valley,AI,18.217,-63.0578,78.8,73,40,9.22
42,Berdigestyakh,RU,62.0989,126.6992,-15.11,87,0,3.53
43,Rikitea,PF,-23.1203,-134.9692,77.47,72,76,14.34
44,Mahébourg,MU,-20.4081,57.7,84.2,65,40,12.66
45,Mankono,CI,8.0586,-6.1897,75.85,75,0,5.84
46,Vanimo,PG,-2.6741,141.3028,84.9,66,100,4.09
47,Amga,RU,60.8953,131.9608,-18.62,84,94,2.15
48,Bluff,NZ,-46.6,168.3333,61.25,72,100,12.39
49,Port Elizabeth,ZA,-33.918,25.5701,64.4,77,0,17.27
50,Punta Arenas,CL,-53.15,-70.9167,57.2,44,75,8.05
51,Doumé,CM,4.2333,13.45,65.86,77,100,0.74
52,Priiskovyy,RU,51.9333,116.6333,-0.44,89,92,3.09
53,Mataura,NZ,-46.1927,168.8643,76.87,35,95,2.51
54,Villefranche-sur-Saône,FR,45.9833,4.7167,39.99,81,58,2.55
55,Vostok,RU,46.4856,135.8833,-3.14,90,100,6.38
56,Tuktoyaktuk,CA,69.4541,-133.0374,-29.2,68,40,8.05
57,Hobart,AU,-42.8794,147.3294,69.01,52,75,18.41
58,Lagoa,PT,39.05,-27.9833,58.19,82,33,26.31
59,George Town,MY,5.4112,100.3354,89.6,51,20,5.75
60,Bengkulu,ID,-3.8004,102.2655,85.19,61,42,10.07
61,Klaksvík,FO,62.2266,-6.589,35.6,55,75,21.85
62,Soyo,AO,-6.1349,12.3689,79.48,86,100,8.97
63,Waingapu,ID,-9.6567,120.2641,85.21,70,100,6.82
64,Amahai,ID,-3.3333,128.9167,88.03,58,41,5.08
65,Hay River,CA,60.8156,-115.7999,-38.2,67,100,3.44
66,Qaanaaq,GL,77.484,-69.3632,16.84,86,100,6.31
67,Grindavik,IS,63.8424,-22.4338,33.8,75,0,16.11
68,Hilo,US,19.7297,-155.09,75.2,64,75,3.44
69,Ribeira Grande,PT,38.5167,-28.7,59.31,81,33,20.49
70,Alto Piquiri,BR,-24.0281,-53.4406,65.7,90,0,2.55
71,Batagay-Alyta,RU,67.8006,130.4114,-22.0,77,8,2.19
72,Kaitangata,NZ,-46.2817,169.8464,64.99,78,100,4.0
73,Gualeguay,AR,-33.1416,-59.3097,70.68,42,0,6.4
74,New Norfolk,AU,-42.7826,147.0587,69.01,57,87,3.0
75,Eyl,SO,7.9803,49.8164,74.68,79,28,17.36
76,Laguna,US,38.421,-121.4238,53.6,66,1,4.61
77,Saint Paul Harbor,US,57.79,-152.4072,26.6,74,1,5.75
78,Broome,US,42.2506,-75.833,10.4,61,1,10.36
79,Olafsvik,IS,64.8945,-23.7142,35.19,80,53,15.32
80,Okhotsk,RU,59.3833,143.3,19.92,88,100,19.77
81,Tasiilaq,GL,65.6145,-37.6368,30.2,51,75,14.97
82,Leningradskiy,RU,69.3833,178.4167,-17.45,87,7,8.52
83,Brooks,CA,50.5834,-111.8851,-20.99,76,100,1.14
84,Mahon,ES,39.8885,4.2658,53.6,82,0,11.5
85,Vila Velha,BR,-20.3297,-40.2925,70.0,100,90,3.44
86,Burns Lake,CA,54.2331,-125.7533,3.2,92,63,1.14
87,Port Hawkesbury,CA,45.6169,-61.3485,26.01,93,90,17.27
88,Mar del Plata,AR,-38.0023,-57.5575,62.01,77,90,11.5
89,Winslow,US,35.0242,-110.6974,46.0,26,1,11.5
90,Carnarvon,AU,-24.8667,113.6333,86.0,100,75,14.97
91,Hithadhoo,MV,-0.6,73.0833,81.95,75,21,10.78
92,Cervo,ES,43.6702,-7.4101,44.01,100,47,5.01
93,Lüshunkou,CN,38.8,121.2667,33.8,47,20,8.95
94,Kang,BW,-23.6752,22.7876,63.7,96,60,4.97
95,Seydi,TM,39.4816,62.9137,54.03,67,100,6.73
96,Kavieng,PG,-2.5744,150.7967,84.74,71,25,8.05
97,Warri,NG,5.5167,5.75,79.54,87,100,4.61
98,Barrow,US,71.2906,-156.7887,-27.4,68,1,4.61
99,Zhangaözen,KZ,43.3,52.8,25.93,83,54,6.67
100,Salamanca,ES,40.8333,-6.0,43.0,75,88,15.17
101,Port Alfred,ZA,-33.5906,26.891,64.99,86,75,4.0
102,Castro,BR,-24.7911,-50.0119,53.37,81,0,5.88
103,Dikson,RU,73.5069,80.5464,-29.94,85,91,18.63
104,Abu Samrah,SY,35.3029,37.1841,48.42,89,1,6.31
105,Norman Wells,CA,65.282,-126.8329,-23.8,76,20,5.75
106,Khatanga,RU,71.9667,102.5,-23.94,80,51,13.58
107,Ahipara,NZ,-35.1667,173.1667,72.32,60,56,9.04
108,Nizhniy Kuranakh,RU,58.8353,125.4869,-4.52,85,0,1.36
109,Tommot,RU,58.9564,126.2925,-6.56,84,0,1.36
110,Ixtapa,MX,20.7,-105.2,68.0,88,1,1.19
111,Ust'-Ishim,RU,57.6935,71.1665,1.96,93,100,7.58
112,Sittwe,MM,20.15,92.9,74.91,40,0,7.18
113,Don Luan,VN,11.5333,106.9167,89.01,50,5,5.95
114,Qaqortoq,GL,60.7167,-46.0333,39.2,28,40,40.29
115,Sangar,RU,63.9242,127.4739,-20.79,82,0,1.52
116,Saskylakh,RU,71.9167,114.0833,-35.68,80,41,10.58
117,Cabo San Lucas,MX,22.8909,-109.9124,66.2,63,40,8.05
118,Arawa,PG,-6.2132,155.5367,84.29,75,72,5.17
119,Dingle,PH,10.9995,122.6711,75.79,93,100,9.35
120,Necochea,AR,-38.5473,-58.7368,59.0,72,57,4.0
121,Hervey Bay,AU,-25.2986,152.8535,82.99,74,90,18.41
122,Peruíbe,BR,-24.32,-46.9983,71.44,71,38,3.4
123,Nisibis,TR,37.0778,41.2178,44.6,70,0,13.8
124,Bilimbay,RU,56.9689,59.8149,-5.8,71,40,13.42
125,Ponta do Sol,PT,32.6667,-17.1,57.99,89,40,5.01
126,Vung Tau,VN,10.346,107.0843,81.64,67,2,10.25
127,Hamilton,US,39.1834,-84.5333,18.0,53,75,9.22
128,Bredasdorp,ZA,-34.5322,20.0403,57.2,82,22,5.75
129,Bambous Virieux,MU,-20.3428,57.7575,84.2,65,40,12.66
130,Humberto de Campos,BR,-2.5983,-43.4611,76.12,92,3,5.64
131,Puerto Baquerizo Moreno,EC,-0.9,-89.6,76.77,90,100,6.33
132,Caravelas,BR,-17.7125,-39.2481,76.03,92,100,7.94
133,Chimoré,BO,-16.9833,-65.1333,75.07,85,100,1.16
134,Ilulissat,GL,69.2167,-51.1,19.4,42,0,29.93
135,Kendari,ID,-3.945,122.4989,90.54,54,62,2.55
136,Cape Town,ZA,-33.9258,18.4232,68.0,72,40,11.5
137,Steger,US,41.47,-87.6364,1.4,60,90,4.61
138,Pontes e Lacerda,BR,-15.2261,-59.3353,69.71,71,86,1.63
139,Zyryanka,RU,65.75,150.85,-17.95,86,99,19.71
140,Cidreira,BR,-30.1811,-50.2056,70.05,74,0,7.63
141,Airai,TL,-8.9266,125.4092,70.41,95,100,4.59
142,Kyshtovka,RU,56.555,76.6271,7.7,94,100,11.86
143,Hofn,IS,64.2539,-15.2082,37.31,82,100,15.23
144,Tuatapere,NZ,-46.1333,167.6833,65.34,70,100,5.39
145,Cabedelo,BR,-6.9811,-34.8339,78.8,83,20,5.75
146,Chu,KZ,43.5983,73.7614,41.22,75,100,4.29
147,Leh,IN,34.1667,77.5833,18.72,67,72,1.52
148,Longyearbyen,SJ,78.2186,15.6401,15.8,41,0,13.8
149,Bubaque,GW,11.2833,-15.8333,78.48,56,1,13.35
150,Kahului,US,20.8947,-156.47,73.4,56,20,9.22
151,Hong Kong,HK,22.2855,114.1577,75.2,53,20,17.27
152,Chui,UY,-33.6971,-53.4616,63.75,86,12,5.41
153,Saint-Leu,RE,-21.15,55.2833,86.0,54,90,5.75
154,Salalah,OM,17.0151,54.0924,69.8,68,0,5.75
155,Kuytun,RU,54.3419,101.5036,22.77,96,74,2.59
156,Korla,CN,41.7597,86.1469,38.95,58,96,5.21
